t,phi,phi_prime
2.000000000000000000e+01,1.500000000000000000e+01,1.414213562373095145e+00
1.999990000000000023e+01,1.499986038779186082e+01,1.377878115769725520e+00
1.999980000000000047e+01,1.499972445485806460e+01,1.340628273095893164e+00
1.999970000000000070e+01,1.499959229254833915e+01,1.302466142521103709e+00
1.999960000000000093e+01,1.499946399190700319e+01,1.263395738082334629e+00
1.999950000000000117e+01,1.499933964347826532e+01,1.223423061052216987e+00
1.999940000000000140e+01,1.499921933710366062e+01,1.182556175715026470e+00
1.999930000000000163e+01,1.499910316171223101e+01,1.140805278609592799e+00
1.999920000000000186e+01,1.499899120510414541e+01,1.098182760290439264e+00
1.999910000000000210e+01,1.499888355372855386e+01,1.054703258662208265e+00
1.999900000000000233e+01,1.499878029245657629e+01,1.010383702958726371e+00
1.999890000000000256e+01,1.499868150435039205e+01,9.652433474678230318e-01
1.999880000000000280e+01,1.499858727042950690e+01,9.193037941469333063e-01
1.999870000000000303e+01,1.499849766943535201e+01,8.725890033330897522e-01
1.999860000000000326e+01,1.499841277759542812e+01,8.251252918243711099e-01
1.999850000000000350e+01,1.499833266838831136e+01,7.769413176981857516e-01
1.999840000000000373e+01,1.499825741231085274e+01,7.280680513345669791e-01
1.999830000000000396e+01,1.499818707664899087e+01,6.785387322292576462e-01
1.999820000000000420e+01,1.499812172525360054e+01,6.283888113107370943e-01
1.999810000000000443e+01,1.499806141832284467e+01,5.776558786161193337e-01
1.999800000000000466e+01,1.499800621219248953e+01,5.263795763313110498e-01
1.999790000000000489e+01,1.499795615913564362e+01,4.746014973589329777e-01
1.999780000000000513e+01,1.499791130717334475e+01,4.223650697409507826e-01
1.999770000000000536e+01,1.499787169989740043e+01,3.697154274291514220e-01
1.999760000000000559e+01,1.499783737630680136e+01,3.166992680627643830e-01
1.999750000000000583e+01,1.499780837065897465e+01,2.633646985757356340e-01
1.999740000000000606e+01,1.499778471233704558e+01,2.097610696134269426e-01
1.999730000000000629e+01,1.499776642573417007e+01,1.559387998868320135e-01
1.999720000000000653e+01,1.499775353015587953e+01,1.019491917288599531e-01
1.999710000000000676e+01,1.499774603974126030e+01,4.784423923907080156e-02
1.999700000000000699e+01,1.499774396340361982e+01,-6.323569492069927578e-03
1.999690000000000722e+01,1.499774730479116691e+01,-6.050145450304292294e-02
1.999680000000000746e+01,1.499775606226804570e+01,-1.146365487847737508e-01
1.999670000000000769e+01,1.499777022891592715e+01,-1.686761041258779958e-01
1.999660000000000792e+01,1.499778979255615496e+01,-2.225676962799036651e-01
1.999650000000000816e+01,1.499781473579231239e+01,-2.762594277610090909e-01
1.999640000000000839e+01,1.499784503607287434e+01,-3.297001266046653001e-01
1.999630000000000862e+01,1.499788066577347045e+01,-3.828395394834961940e-01
1.999620000000000886e+01,1.499792159229810906e+01,-4.356285176441750950e-01
1.999610000000000909e+01,1.499796777819858384e+01,-4.880191942278236383e-01
1.999600000000000932e+01,1.499801918131111300e+01,-5.399651516516223992e-01
1.999590000000000956e+01,1.499807575490918055e+01,-5.914215778609936969e-01
1.999580000000000979e+01,1.499813744787139846e+01,-6.423454104071079085e-01
1.999570000000001002e+01,1.499820420486313033e+01,-6.926954674607210816e-01
1.999560000000001025e+01,1.499827596653052986e+01,-7.424325650374649088e-01
1.999550000000001049e+01,1.499835266970559466e+01,-7.915196198785950932e-01
1.999540000000001072e+01,1.499843424762076438e+01,-8.399217376018061065e-01
1.999530000000001095e+01,1.499852063013159942e+01,-8.876062859060662724e-01
1.999520000000001119e+01,1.499861174394601981e+01,-9.345429527797156632e-01
1.999510000000001142e+01,1.499870751285862625e+01,-9.807037898197095149e-01
1.999500000000001165e+01,1.499880785798861460e+01,-1.026063240919576236e+00
1.999490000000001189e+01,1.499891269801984528e+01,-1.070598156722392780e+00
1.999480000000001212e+01,1.499902194944166567e+01,-1.114287795361203814e+00
1.999470000000001235e+01,1.499913552678915174e+01,-1.157113810121526809e+00
1.999460000000001259e+01,1.499925334288148271e+01,-1.199060224757962478e+00
1.999450000000001282e+01,1.499937530905727456e+01,-1.240113397278883811e+00
1.999440000000001305e+01,1.499950133540574804e+01,-1.280261973079484195e+00
1.999430000000001328e+01,1.499963133099270962e+01,-1.319496828354205453e+00
1.999420000000001352e+01,1.499976520408043790e+01,-1.357811004755120621e+00
1.999410000000001375e+01,1.499990286234063142e+01,-1.395199636283852573e+00
1.999400000000001398e+01,1.500004421305970581e+01,-1.431659869411910924e+00
1.999390000000001422e+01,1.500018916333579710e+01,-1.467190777418971637e+00
1.999380000000001445e+01,1.500033762026695783e+01,-1.501793269921759766e+00
1.999370000000001468e+01,1.500048949113010366e+01,-1.535469998539109371e+00
1.999360000000001492e+01,1.500064468355036595e+01,-1.568225259602779698e+00
1.999350000000001515e+01,1.500080310566061215e+01,-1.600064894780068858e+00
1.999340000000001538e+01,1.500096466625095104e+01,-1.630996190424523151e+00
1.999330000000001561e+01,1.500112927490814840e+01,-1.661027776416415636e+00
1.999320000000001585e+01,1.500129684214492265e+01,-1.690169525196411948e+00
1.999310000000001608e+01,1.500146727951918812e+01,-1.718432451635138136e+00
1.999300000000001631e+01,1.500164049974334723e+01,-1.745828614319307581e+00
1.999290000000001655e+01,1.500181641678380551e+01,-1.772371018772638251e+00
1.999280000000001678e+01,1.500199494595092276e+01,-1.798073523067877044e+00
1.999270000000001701e+01,1.500217600397966500e+01,-1.822950746225617147e+00
1.999260000000001725e+01,1.500235950910124849e+01,-1.847017979736900850e+00
1.999250000000001748e+01,1.500254538110609914e+01,-1.870291102490390767e+00
1.999240000000001771e+01,1.500273354139849502e+01,-1.892786499331604144e+00
1.999230000000001795e+01,1.500292391304324724e+01,-1.914520983431683865e+00
1.999220000000001818e+01,1.500311642080481001e+01,-1.935511722596666484e+00
1.999210000000001841e+01,1.500331099117923195e+01,-1.955776169605368819e+00
1.999200000000001864e+01,1.500350755241933776e+01,-1.975331996624936970e+00
1.999190000000001888e+01,1.500370603455356111e+01,-1.994197033717801437e+00
1.999180000000001911e+01,1.500390636939882683e+01,-2.012389211422235036e+00
1.999170000000001934e+01,1.500410849056789431e+01,-2.029926507360807264e+00
1.999160000000001958e+01,1.500431233347156379e+01,-2.046826896806672735e+00
1.999150000000001981e+01,1.500451783531613259e+01,-2.063108307116642059e+00
1.999140000000002004e+01,1.500472493509648153e+01,-2.078788575922180915e+00
1.999130000000002028e+01,1.500493357358515922e+01,-2.093885412954681335e+00
1.999120000000002051e+01,1.500514369331783548e+01,-2.108416365369311762e+00
1.999110000000002074e+01,1.500535523857544895e+01,-2.122398786422277084e+00
1.999100000000002098e+01,1.500556815536338462e+01,-2.135849807349166962e+00
1.999090000000002121e+01,1.500578239138799042e+01,-2.148786312287034761e+00
1.999080000000002144e+01,1.500599789603074008e+01,-2.161224916079696801e+00
1.999070000000002167e+01,1.500621462032030173e+01,-2.173181944804268628e+00
1.999060000000002191e+01,1.500643251690279989e+01,-2.184673418856962090e+00
1.999050000000002214e+01,1.500665154001050006e+01,-2.195715038437457967e+00
1.999040000000002237e+01,1.500687164542915575e+01,-2.206322171273559007e+00
1.999030000000002261e+01,1.500709279046423994e+01,-2.216509842431171329e+00
1.999020000000002284e+01,1.500731493390624571e+01,-2.226292726058772597e+00
1.999010000000002307e+01,1.500753803599525860e+01,-2.235685138920293635e+00
1.999000000000002331e+01,1.500776205838496402e+01,-2.244701035575610959e+00
1.998990000000002354e+01,1.500798696410624977e+01,-2.253354005073527677e+00
1.998980000000002377e+01,1.500821271753054731e+01,-2.261657269028086947e+00
1.998970000000002400e+01,1.500843928433304519e+01,-2.269623680955240363e+00
1.998960000000002424e+01,1.500866663145589541e+01,-2.277265726753188169e+00
1.998950000000002447e+01,1.500889472707151562e+01,-2.284595526216060879e+00
1.998940000000002470e+01,1.500912354054609743e+01,-2.291624835476949062e+00
1.998930000000002494e+01,1.500935304240339541e+01,-2.298365050282577648e+00
1.998920000000002517e+01,1.500958320428888548e+01,-2.304827210008086436e+00
1.998910000000002540e+01,1.500981399893435153e+01,-2.311022002326422076e+00
1.998900000000002564e+01,1.501004540012297994e+01,-2.316959768452713231e+00
1.998890000000002587e+01,1.501027738265498890e+01,-2.322650508889662735e+00
1.998880000000002610e+01,1.501050992231387049e+01,-2.328103889605456001e+00
1.998870000000002634e+01,1.501074299583325633e+01,-2.333329248580905624e+00
1.998860000000002657e+01,1.501097658086446174e+01,-2.338335602667556135e+00
1.998850000000002680e+01,1.501121065594472803e+01,-2.343131654703206834e+00
1.998840000000002703e+01,1.501144520046618069e+01,-2.347725800835822607e+00
1.998830000000002727e+01,1.501168019464553893e+01,-2.352126138011056966e+00
1.998820000000002750e+01,1.501191561949457487e+01,-2.356340471582613283e+00
1.998810000000002773e+01,1.501215145679133300e+01,-2.360376323008443578e+00
1.998800000000002797e+01,1.501238768905213483e+01,-2.364240937599312975e+00
1.998790000000002820e+01,1.501262429950434729e+01,-2.367941292289559296e+00
1.998780000000002843e+01,1.501286127205993637e+01,-2.371484103402947685e+00
1.998770000000002867e+01,1.501309859128979163e+01,-2.374875834389393869e+00
1.998760000000002890e+01,1.501333624239882525e+01,-2.378122703510973768e+00
1.998750000000002913e+01,1.501357421120183488e+01,-2.381230691458105397e+00
1.998740000000002937e+01,1.501381248410012148e+01,-2.384205548879060110e+00
1.998730000000002960e+01,1.501405104805885848e+01,-2.387052803808047408e+00
1.998720000000002983e+01,1.501428989058519647e+01,-2.389777768979056027e+00
1.998710000000003006e+01,1.501452899970709787e+01,-2.392385549014389490e+00
1.998700000000003030e+01,1.501476836395287329e+01,-2.394881047478462310e+00
1.998690000000003053e+01,1.501500797233142492e+01,-2.397268973788894808e+00
1.998680000000003076e+01,1.501524781431317379e+01,-2.399553849978294906e+00
1.998670000000003100e+01,1.501548787981165134e+01,-2.401740017301340568e+00
1.998660000000003123e+01,1.501572815916574299e+01,-2.403831642682883185e+00
1.998650000000003146e+01,1.501596864312257296e+01,-2.405832725003801631e+00
1.998640000000003170e+01,1.501620932282100895e+01,-2.407747101222235564e+00
1.998630000000003193e+01,1.501645018977576385e+01,-2.409578452328648979e+00
1.998620000000003216e+01,1.501669123586209587e+01,-2.411330309133896233e+00
1.998610000000003240e+01,1.501693245330107018e+01,-2.413006057890120903e+00
1.998600000000003263e+01,1.501717383464537647e+01,-2.414608945744894708e+00
1.998590000000003286e+01,1.501741537276568295e+01,-2.416142086029515745e+00
1.998580000000003309e+01,1.501765706083751795e+01,-2.417608463382840078e+00
1.998570000000003333e+01,1.501789889232864361e+01,-2.419010938712421233e+00
1.998560000000003356e+01,1.501814086098692869e+01,-2.420352253995069258e+00
1.998550000000003379e+01,1.501838296082868673e+01,-2.421635036919251860e+00
1.998540000000003403e+01,1.501862518612747444e+01,-2.422861805372007904e+00
1.998530000000003426e+01,1.501886753140332509e+01,-2.424034971773271430e+00
1.998520000000003449e+01,1.501910999141241732e+01,-2.425156847260680149e+00
1.998510000000003473e+01,1.501935256113715056e+01,-2.426229645728100959e+00
1.998500000000003496e+01,1.501959523577661137e+01,-2.427255487721224902e+00
1.998490000000003519e+01,1.501983801073743052e+01,-2.428236404193684805e+00
1.998480000000003542e+01,1.502008088162500776e+01,-2.429174340127222553e+00
1.998470000000003566e+01,1.502032384423508660e+01,-2.430071158019484479e+00
1.998460000000003589e+01,1.502056689454567717e+01,-2.430928641243064181e+00
1.998450000000003612e+01,1.502081002870930782e+01,-2.431748497279423660e+00
1.998440000000003636e+01,1.502105324304558742e+01,-2.432532360831336504e+00
1.998430000000003659e+01,1.502129653403408405e+01,-2.433281796817477360e+00
1.998420000000003682e+01,1.502153989830748593e+01,-2.433998303252769890e+00
1.998410000000003706e+01,1.502178333264505738e+01,-2.434683314018073030e+00
1.998400000000003729e+01,1.502202683396635230e+01,-2.435338201522739165e+00
1.998390000000003752e+01,1.502227039932520114e+01,-2.435964279263541421e+00
1.998380000000003776e+01,1.502251402590393958e+01,-2.436562804283403327e+00
1.998370000000003799e+01,1.502275771100788404e+01,-2.437134979533313928e+00
1.998360000000003822e+01,1.502300145206003634e+01,-2.437681956140736350e+00
1.998350000000003845e+01,1.502324524659601224e+01,-2.438204835587760133e+00
1.998340000000003869e+01,1.502348909225917950e+01,-2.438704671802172985e+00
1.998330000000003892e+01,1.502373298679600389e+01,-2.439182473164546394e+00
1.998320000000003915e+01,1.502397692805159579e+01,-2.439639204434365549e+00
1.998310000000003939e+01,1.502422091396543635e+01,-2.440075788598145667e+00
1.998300000000003962e+01,1.502446494256729004e+01,-2.440493108642405318e+00
1.998290000000003985e+01,1.502470901197329134e+01,-2.440892009254282957e+00
1.998280000000004009e+01,1.502495312038219666e+01,-2.441273298452506957e+00
1.998270000000004032e+01,1.502519726607179607e+01,-2.441637749151345904e+00
1.998260000000004055e+01,1.502544144739547960e+01,-2.441986100660089143e+00
1.998250000000004079e+01,1.502568566277894746e+01,-2.442319060120528018e+00
1.998240000000004102e+01,1.502592991071706408e+01,-2.442637303884829691e+00
1.998230000000004125e+01,1.502617418977084540e+01,-2.442941478836117231e+00
1.998220000000004148e+01,1.502641849856457235e+01,-2.443232203653995516e+00
1.998210000000004172e+01,1.502666283578303563e+01,-2.443510070027186121e+00
1.998200000000004195e+01,1.502690720016889614e+01,-2.443775643815360166e+00
1.998190000000004218e+01,1.502715159052015181e+01,-2.444029466162188857e+00
1.998180000000004242e+01,1.502739600568772893e+01,-2.444272054561556828e+00
1.998170000000004265e+01,1.502764044457315862e+01,-2.444503903878815443e+00
1.998160000000004288e+01,1.502788490612636885e+01,-2.444725487328892388e+00
1.998150000000004312e+01,1.502812938934356879e+01,-2.444937257412995280e+00
1.998140000000004335e+01,1.502837389326521667e+01,-2.445139646815595036e+00
1.998130000000004358e+01,1.502861841697408529e+01,-2.445333069263307291e+00
1.998120000000004381e+01,1.502886295959340757e+01,-2.445517920347229257e+00
1.998110000000004405e+01,1.502910752028509833e+01,-2.445694578310233069e+00
1.998100000000004428e+01,1.502935209824806506e+01,-2.445863404800657559e+00
1.998090000000004451e+01,1.502959669271657894e+01,-2.446024745593787575e+00
1.998080000000004475e+01,1.502984130295872234e+01,-2.446178931282453117e+00
1.998070000000004498e+01,1.503008592827490730e+01,-2.446326277938034366e+00
1.998060000000004521e+01,1.503033056799645273e+01,-2.446467087743100510e+00
1.998050000000004545e+01,1.503057522148422720e+01,-2.446601649596871653e+00
1.998040000000004568e+01,1.503081988812734870e+01,-2.446730239694637987e+00
1.998030000000004591e+01,1.503106456734194296e+01,-2.446853122082228715e+00
1.998020000000004615e+01,1.503130925856995503e+01,-2.446970549186583188e+00
1.998010000000004638e+01,1.503155396127801247e+01,-2.447082762323424809e+00
1.998000000000004661e+01,1.503179867495633992e+01,-2.447189992183011586e+00
1.997990000000004684e+01,1.503204339911771825e+01,-2.447292459294885258e+00
1.997980000000004708e+01,1.503228813329649327e+01,-2.447390374472509844e+00
1.997970000000004731e+01,1.503253287704762364e+01,-2.447483939238654482e+00
1.997960000000004754e+01,1.503277762994577316e+01,-2.447573346232339464e+00
1.997950000000004778e+01,1.503302239158444031e+01,-2.447658779598127499e+00
1.997940000000004801e+01,1.503326716157512877e+01,-2.447740415358516497e+00
1.997930000000004824e+01,1.503351193954655507e+01,-2.447818421770154629e+00
1.997920000000004848e+01,1.503375672514388661e+01,-2.447892959664567325e+00
1.997910000000004871e+01,1.503400151802801510e+01,-2.447964182774062358e+00
1.997900000000004894e+01,1.503424631787486554e+01,-2.448032238043448050e+00
1.997890000000004918e+01,1.503449112437472834e+01,-2.448097265928171229e+00
1.997880000000004941e+01,1.503473593723163049e+01,-2.448159400679460695e+00
1.997870000000004964e+01,1.503498075616272089e+01,-2.448218770617036633e+00
1.997860000000004987e+01,1.503522558089769667e+01,-2.448275498389917093e+00
1.997850000000005011e+01,1.503547041117824890e+01,-2.448329701225838928e+00
1.997840000000005034e+01,1.503571524675752613e+01,-2.448381491169783875e+00
1.997830000000005057e+01,1.503596008739963530e+01,-2.448430975312076985e+00
1.997820000000005081e+01,1.503620493287915316e+01,-2.448478256006514364e+00
1.997810000000005104e+01,1.503644978298066270e+01,-2.448523431078944768e+00
1.997800000000005127e+01,1.503669463749831081e+01,-2.448566594026724719e+00
1.997790000000005151e+01,1.503693949623538728e+01,-2.448607834209437506e+00
1.997780000000005174e+01,1.503718435900391803e+01,-2.448647237031260637e+00
1.997770000000005197e+01,1.503742922562427964e+01,-2.448684884115337468e+00
1.997760000000005220e+01,1.503767409592482629e+01,-2.448720853470507830e+00
1.997750000000005244e+01,1.503791896974154341e+01,-2.448755219650722736e+00
1.997740000000005267e+01,1.503816384691770125e+01,-2.448788053907466900e+00
1.997730000000005290e+01,1.503840872730353873e+01,-2.448819424335490158e+00
1.997720000000005314e+01,1.503865361075595075e+01,-2.448849396012141355e+00
1.997710000000005337e+01,1.503889849713819693e+01,-2.448878031130580890e+00
1.997700000000005360e+01,1.503914338631961378e+01,-2.448905389127142396e+00
1.997690000000005384e+01,1.503938827817535184e+01,-2.448931526803094005e+00
1.997680000000005407e+01,1.503963317258611276e+01,-2.448956498441049678e+00
1.997670000000005430e+01,1.503987806943790773e+01,-2.448980355916258844e+00
1.997660000000005454e+01,1.504012296862181586e+01,-2.449003148803000407e+00
