t,phi
5.500000000000002665e-01,-7.020471880823713207e-01
5.600000000000002753e-01,-7.168048483637736723e-01
5.700000000000002842e-01,-7.313478836325416621e-01
5.800000000000002931e-01,-7.456824472158339878e-01
5.900000000000003020e-01,-7.598144315512335156e-01
6.000000000000003109e-01,-7.737494827297612954e-01
6.100000000000003197e-01,-7.874930140394462708e-01
6.200000000000003286e-01,-8.010502185907575345e-01
6.300000000000003375e-01,-8.144260810975906262e-01
6.400000000000003464e-01,-8.276253888806901493e-01
6.500000000000003553e-01,-8.406527421542930867e-01
6.600000000000003642e-01,-8.535125636513020142e-01
6.700000000000003730e-01,-8.662091076373840126e-01
6.800000000000003819e-01,-8.787464683599655046e-01
6.900000000000003908e-01,-8.911285879741104310e-01
7.000000000000003997e-01,-9.033592639836728333e-01
7.100000000000004086e-01,-9.154421562328675099e-01
7.200000000000004174e-01,-9.273807934804662034e-01
7.300000000000004263e-01,-9.391785795861652408e-01
7.400000000000004352e-01,-9.508387993362605872e-01
7.500000000000004441e-01,-9.623646239335742480e-01
7.600000000000004530e-01,-9.737591161745894341e-01
7.700000000000004619e-01,-9.850252353349377987e-01
7.800000000000004707e-01,-9.961658417827362610e-01
7.900000000000004796e-01,-1.007183701337765136e+00
8.000000000000004885e-01,-1.018081489393106054e+00
8.100000000000004974e-01,-1.028861794814607933e+00
8.200000000000005063e-01,-1.039527123632395744e+00
8.300000000000005151e-01,-1.050079902537591980e+00
8.400000000000005240e-01,-1.060522482196456506e+00
8.500000000000005329e-01,-1.070857140393264517e+00
8.600000000000005418e-01,-1.081086085012437081e+00
8.700000000000005507e-01,-1.091211456869688234e+00
8.800000000000005596e-01,-1.101235332401270917e+00
8.900000000000005684e-01,-1.111159726219770993e+00
9.000000000000005773e-01,-1.120986593544320398e+00
9.100000000000005862e-01,-1.130717832512558640e+00
9.200000000000005951e-01,-1.140355286381184108e+00
9.300000000000006040e-01,-1.149900745621474041e+00
9.400000000000006128e-01,-1.159355949915733763e+00
